




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	LatDec (Mus musculus )
Reference List:	pop (Mus musculus )
Test Type:	FISHER
GO biological process complete	pop - REFLIST (11651)	LatDec (998)	LatDec (expected)	LatDec (over/under)	LatDec (fold Enrichment)	LatDec (raw P-value)	LatDec (FDR)
cellular response to stimulus (GO:0051716)	3218	339	275.65	+	1.23	2.82E-05	2.20E-03
cellular component organization or biogenesis (GO:0071840)	3519	366	301.43	+	1.21	2.82E-05	2.19E-03
response to stimulus (GO:0050896)	3977	408	340.66	+	1.20	2.30E-05	1.88E-03
regulation of cellular process (GO:0050794)	6155	629	527.22	+	1.19	4.61E-10	1.06E-07
positive regulation of cellular process (GO:0048522)	3293	335	282.07	+	1.19	4.60E-04	2.28E-02
regulation of biological process (GO:0050789)	6485	655	555.49	+	1.18	8.49E-10	1.80E-07
biological regulation (GO:0065007)	6807	687	583.07	+	1.18	8.24E-11	2.32E-08
positive regulation of biological process (GO:0048518)	3616	361	309.74	+	1.17	9.47E-04	4.03E-02
macromolecule metabolic process (GO:0043170)	4289	306	367.39	-	.83	9.18E-05	5.85E-03
organic substance metabolic process (GO:0071704)	5317	378	455.44	-	.83	2.08E-06	2.35E-04
primary metabolic process (GO:0044238)	5097	362	436.60	-	.83	4.23E-06	4.24E-04
cellular metabolic process (GO:0044237)	5164	363	442.34	-	.82	1.16E-06	1.42E-04
nitrogen compound metabolic process (GO:0006807)	4755	332	407.30	-	.82	2.84E-06	3.09E-04
metabolic process (GO:0008152)	5639	392	483.02	-	.81	2.76E-08	4.59E-06
organic cyclic compound metabolic process (GO:1901360)	2803	182	240.10	-	.76	2.24E-05	1.86E-03
organic substance biosynthetic process (GO:1901576)	2522	163	216.03	-	.75	6.35E-05	4.28E-03
biosynthetic process (GO:0009058)	2570	165	220.14	-	.75	3.57E-05	2.70E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1855	118	158.90	-	.74	4.60E-04	2.29E-02
RNA metabolic process (GO:0016070)	1943	123	166.43	-	.74	2.95E-04	1.58E-02
cellular aromatic compound metabolic process (GO:0006725)	2708	168	231.96	-	.72	2.22E-06	2.50E-04
nucleobase-containing compound metabolic process (GO:0006139)	2612	162	223.74	-	.72	3.60E-06	3.71E-04
cellular biosynthetic process (GO:0044249)	2465	152	211.15	-	.72	5.92E-06	5.61E-04
heterocycle metabolic process (GO:0046483)	2687	165	230.16	-	.72	1.15E-06	1.42E-04
cellular macromolecule biosynthetic process (GO:0034645)	1974	121	169.09	-	.72	5.29E-05	3.69E-03
macromolecule biosynthetic process (GO:0009059)	1996	122	170.97	-	.71	4.66E-05	3.37E-03
nucleic acid metabolic process (GO:0090304)	2266	137	194.10	-	.71	5.38E-06	5.24E-04
gene expression (GO:0010467)	2194	130	187.93	-	.69	2.69E-06	2.97E-04
cellular nitrogen compound metabolic process (GO:0034641)	3024	177	259.03	-	.68	3.69E-09	6.98E-07
oxidation-reduction process (GO:0055114)	583	28	49.94	-	.56	1.19E-03	4.86E-02
RNA processing (GO:0006396)	600	26	51.39	-	.51	1.79E-04	1.03E-02
organonitrogen compound biosynthetic process (GO:1901566)	817	31	69.98	-	.44	3.11E-07	4.34E-05
oxoacid metabolic process (GO:0043436)	506	18	43.34	-	.42	3.03E-05	2.31E-03
organic acid metabolic process (GO:0006082)	512	18	43.86	-	.41	2.30E-05	1.89E-03
response to biotic stimulus (GO:0009607)	377	13	32.29	-	.40	2.60E-04	1.42E-02
response to other organism (GO:0051707)	354	12	30.32	-	.40	3.56E-04	1.85E-02
response to external biotic stimulus (GO:0043207)	355	12	30.41	-	.39	3.59E-04	1.84E-02
ncRNA metabolic process (GO:0034660)	335	11	28.70	-	.38	3.64E-04	1.86E-02
carboxylic acid metabolic process (GO:0019752)	480	15	41.12	-	.36	7.89E-06	7.37E-04
amide biosynthetic process (GO:0043604)	322	8	27.58	-	.29	2.95E-05	2.27E-03
cellular amide metabolic process (GO:0043603)	449	11	38.46	-	.29	5.73E-07	7.62E-05
regulation of cell cycle phase transition (GO:1901987)	211	5	18.07	-	.28	8.06E-04	3.49E-02
defense response to other organism (GO:0098542)	189	4	16.19	-	.25	1.04E-03	4.33E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	191	4	16.36	-	.24	7.18E-04	3.21E-02
peptide metabolic process (GO:0006518)	353	6	30.24	-	.20	2.68E-07	3.81E-05
translation (GO:0006412)	263	4	22.53	-	.18	5.51E-06	5.33E-04
peptide biosynthetic process (GO:0043043)	273	4	23.38	-	.17	2.69E-06	2.95E-04
cellular amino acid metabolic process (GO:0006520)	175	2	14.99	-	.13	1.09E-04	6.73E-03
tRNA metabolic process (GO:0006399)	143	0	12.25	-	 < 0.01	1.31E-05	1.18E-03
mitotic nuclear division (GO:0140014)	108	0	9.25	-	 < 0.01	2.26E-04	1.24E-02
RNA modification (GO:0009451)	97	0	8.31	-	 < 0.01	5.10E-04	2.45E-02
tRNA processing (GO:0008033)	93	0	7.97	-	 < 0.01	7.67E-04	3.37E-02
