




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	LatInc (Mus musculus )
Reference List:	pop (Mus musculus )
Test Type:	FISHER
GO biological process complete	pop - REFLIST (11651)	LatInc (1220)	LatInc (expected)	LatInc (over/under)	LatInc (fold Enrichment)	LatInc (raw P-value)	LatInc (FDR)
enzyme linked receptor protein signaling pathway (GO:0007167)	359	71	37.59	+	1.89	3.21E-06	2.60E-04
response to other organism (GO:0051707)	354	70	37.07	+	1.89	4.13E-06	3.25E-04
negative regulation of cell motility (GO:2000146)	177	35	18.53	+	1.89	1.23E-03	3.51E-02
regulation of defense response (GO:0031347)	314	62	32.88	+	1.89	1.45E-05	9.54E-04
organic hydroxy compound metabolic process (GO:1901615)	218	43	22.83	+	1.88	3.64E-04	1.41E-02
response to external biotic stimulus (GO:0043207)	355	70	37.17	+	1.88	4.26E-06	3.31E-04
camera-type eye development (GO:0043010)	183	36	19.16	+	1.88	1.00E-03	2.99E-02
response to inorganic substance (GO:0010035)	255	50	26.70	+	1.87	1.03E-04	5.32E-03
carboxylic acid metabolic process (GO:0019752)	480	94	50.26	+	1.87	1.12E-07	1.29E-05
response to growth factor (GO:0070848)	271	53	28.38	+	1.87	7.12E-05	3.92E-03
positive regulation of cell proliferation (GO:0008284)	554	108	58.01	+	1.86	1.15E-08	1.87E-06
positive regulation of immune system process (GO:0002684)	426	83	44.61	+	1.86	8.84E-07	8.37E-05
epithelial cell differentiation (GO:0030855)	267	52	27.96	+	1.86	9.36E-05	4.92E-03
oxoacid metabolic process (GO:0043436)	506	98	52.98	+	1.85	7.46E-08	9.38E-06
response to biotic stimulus (GO:0009607)	377	73	39.48	+	1.85	5.30E-06	4.03E-04
regulation of Wnt signaling pathway (GO:0030111)	176	34	18.43	+	1.84	1.83E-03	4.74E-02
locomotion (GO:0040011)	673	130	70.47	+	1.84	5.10E-10	1.15E-07
response to lipid (GO:0033993)	368	71	38.53	+	1.84	6.28E-06	4.62E-04
cell surface receptor signaling pathway (GO:0007166)	998	192	104.50	+	1.84	2.68E-14	1.95E-11
organic acid metabolic process (GO:0006082)	512	98	53.61	+	1.83	1.26E-07	1.43E-05
immune system process (GO:0002376)	973	186	101.88	+	1.83	1.05E-13	6.34E-11
regulation of immune effector process (GO:0002697)	194	37	20.31	+	1.82	1.38E-03	3.83E-02
negative regulation of cellular component movement (GO:0051271)	189	36	19.79	+	1.82	1.75E-03	4.63E-02
anion transport (GO:0006820)	253	48	26.49	+	1.81	3.03E-04	1.25E-02
regulation of protein secretion (GO:0050708)	254	48	26.60	+	1.80	3.16E-04	1.27E-02
regulation of peptide secretion (GO:0002791)	276	52	28.90	+	1.80	2.48E-04	1.06E-02
positive regulation of protein phosphorylation (GO:0001934)	601	113	62.93	+	1.80	3.64E-08	5.09E-06
regulation of immune response (GO:0050776)	362	68	37.91	+	1.79	2.39E-05	1.47E-03
innate immune response (GO:0045087)	277	52	29.01	+	1.79	2.54E-04	1.08E-02
positive regulation of immune response (GO:0050778)	240	45	25.13	+	1.79	6.57E-04	2.19E-02
positive regulation of phosphorylation (GO:0042327)	636	117	66.60	+	1.76	5.58E-08	7.49E-06
taxis (GO:0042330)	256	47	26.81	+	1.75	6.79E-04	2.25E-02
cellular divalent inorganic cation homeostasis (GO:0072503)	246	45	25.76	+	1.75	1.08E-03	3.18E-02
regulation of MAPK cascade (GO:0043408)	443	81	46.39	+	1.75	8.60E-06	6.12E-04
regulation of system process (GO:0044057)	302	55	31.62	+	1.74	3.14E-04	1.27E-02
regulation of anatomical structure morphogenesis (GO:0022603)	660	120	69.11	+	1.74	6.50E-08	8.24E-06
chemotaxis (GO:0006935)	254	46	26.60	+	1.73	9.49E-04	2.88E-02
positive regulation of phosphorus metabolic process (GO:0010562)	707	128	74.03	+	1.73	2.98E-08	4.43E-06
positive regulation of phosphate metabolic process (GO:0045937)	707	128	74.03	+	1.73	2.98E-08	4.38E-06
regulation of multicellular organismal process (GO:0051239)	1797	325	188.17	+	1.73	3.14E-21	1.45E-17
cellular metal ion homeostasis (GO:0006875)	299	54	31.31	+	1.72	4.17E-04	1.54E-02
negative regulation of cell death (GO:0060548)	687	123	71.94	+	1.71	8.10E-08	1.00E-05
G-protein coupled receptor signaling pathway (GO:0007186)	324	58	33.93	+	1.71	3.50E-04	1.37E-02
cellular response to oxygen-containing compound (GO:1901701)	498	88	52.15	+	1.69	1.28E-05	8.62E-04
immune system development (GO:0002520)	414	73	43.35	+	1.68	7.22E-05	3.95E-03
chemical homeostasis (GO:0048878)	573	101	60.00	+	1.68	2.70E-06	2.23E-04
circulatory system development (GO:0072359)	580	102	60.73	+	1.68	3.04E-06	2.49E-04
response to endogenous stimulus (GO:0009719)	685	120	71.73	+	1.67	4.00E-07	4.06E-05
regulation of multicellular organismal development (GO:2000026)	1239	217	129.74	+	1.67	1.48E-12	7.07E-10
epithelium development (GO:0060429)	579	101	60.63	+	1.67	4.13E-06	3.26E-04
positive regulation of multicellular organismal process (GO:0051240)	1039	181	108.80	+	1.66	2.79E-10	7.13E-08
response to external stimulus (GO:0009605)	893	155	93.51	+	1.66	8.47E-09	1.48E-06
cellular ion homeostasis (GO:0006873)	352	61	36.86	+	1.65	4.33E-04	1.59E-02
response to oxygen-containing compound (GO:1901700)	730	126	76.44	+	1.65	3.37E-07	3.50E-05
negative regulation of apoptotic process (GO:0043066)	597	103	62.51	+	1.65	5.58E-06	4.19E-04
cell proliferation (GO:0008283)	371	64	38.85	+	1.65	3.27E-04	1.31E-02
cellular chemical homeostasis (GO:0055082)	400	69	41.88	+	1.65	2.04E-04	9.11E-03
response to organic cyclic compound (GO:0014070)	406	70	42.51	+	1.65	2.22E-04	9.72E-03
actin cytoskeleton organization (GO:0030036)	314	54	32.88	+	1.64	1.09E-03	3.19E-02
signal transduction (GO:0007165)	2164	372	226.60	+	1.64	3.09E-21	2.14E-17
metal ion homeostasis (GO:0055065)	338	58	35.39	+	1.64	8.58E-04	2.66E-02
hemopoiesis (GO:0030097)	356	61	37.28	+	1.64	6.23E-04	2.10E-02
response to hormone (GO:0009725)	362	62	37.91	+	1.64	5.13E-04	1.82E-02
positive regulation of protein kinase activity (GO:0045860)	304	52	31.83	+	1.63	1.69E-03	4.50E-02
regulation of developmental process (GO:0050793)	1626	278	170.26	+	1.63	5.64E-15	4.87E-12
positive regulation of transport (GO:0051050)	697	119	72.98	+	1.63	1.27E-06	1.15E-04
negative regulation of programmed cell death (GO:0043069)	610	104	63.87	+	1.63	6.94E-06	5.02E-04
hematopoietic or lymphoid organ development (GO:0048534)	393	67	41.15	+	1.63	3.38E-04	1.34E-02
regulation of cell differentiation (GO:0045595)	1144	195	119.79	+	1.63	2.24E-10	5.96E-08
positive regulation of signal transduction (GO:0009967)	904	154	94.66	+	1.63	2.69E-08	4.03E-06
positive regulation of protein transport (GO:0051222)	347	59	36.34	+	1.62	9.92E-04	2.97E-02
positive regulation of response to stimulus (GO:0048584)	1184	201	123.98	+	1.62	1.57E-10	4.42E-08
animal organ morphogenesis (GO:0009887)	545	92	57.07	+	1.61	3.83E-05	2.26E-03
positive regulation of signaling (GO:0023056)	1022	172	107.02	+	1.61	9.47E-09	1.60E-06
cellular cation homeostasis (GO:0030003)	345	58	36.13	+	1.61	1.30E-03	3.65E-02
positive regulation of cell communication (GO:0010647)	1016	170	106.39	+	1.60	1.59E-08	2.53E-06
ion homeostasis (GO:0050801)	413	69	43.25	+	1.60	4.61E-04	1.67E-02
cellular response to endogenous stimulus (GO:0071495)	582	97	60.94	+	1.59	3.64E-05	2.16E-03
inorganic ion homeostasis (GO:0098771)	396	66	41.47	+	1.59	6.47E-04	2.17E-02
response to chemical (GO:0042221)	1964	327	205.65	+	1.59	1.81E-16	2.77E-13
actin filament-based process (GO:0030029)	356	59	37.28	+	1.58	1.54E-03	4.19E-02
intracellular signal transduction (GO:0035556)	900	149	94.24	+	1.58	2.71E-07	2.90E-05
regulation of cell death (GO:0010941)	1136	188	118.95	+	1.58	4.28E-09	7.99E-07
regulation of secretion (GO:0051046)	479	79	50.16	+	1.58	2.73E-04	1.15E-02
positive regulation of establishment of protein localization (GO:1904951)	358	59	37.49	+	1.57	1.61E-03	4.33E-02
system process (GO:0003008)	765	126	80.10	+	1.57	3.35E-06	2.69E-04
response to drug (GO:0042493)	426	70	44.61	+	1.57	7.26E-04	2.37E-02
response to organic substance (GO:0010033)	1450	238	151.83	+	1.57	4.40E-11	1.48E-08
regulation of protein phosphorylation (GO:0001932)	896	147	93.82	+	1.57	4.68E-07	4.72E-05
anatomical structure formation involved in morphogenesis (GO:0048646)	561	92	58.74	+	1.57	8.75E-05	4.67E-03
regulation of localization (GO:0032879)	1793	294	187.75	+	1.57	7.79E-14	4.89E-11
cellular response to chemical stimulus (GO:0070887)	1373	225	143.77	+	1.57	1.83E-10	4.95E-08
regulation of intracellular signal transduction (GO:1902531)	1068	175	111.83	+	1.56	3.24E-08	4.67E-06
regulation of response to stress (GO:0080134)	763	125	79.90	+	1.56	4.37E-06	3.38E-04
regulation of peptide transport (GO:0090087)	556	91	58.22	+	1.56	1.07E-04	5.47E-03
central nervous system development (GO:0007417)	527	86	55.18	+	1.56	1.73E-04	7.93E-03
tube development (GO:0035295)	411	67	43.04	+	1.56	1.05E-03	3.11E-02
tissue development (GO:0009888)	911	148	95.39	+	1.55	7.42E-07	7.22E-05
cation homeostasis (GO:0055080)	388	63	40.63	+	1.55	1.77E-03	4.65E-02
regulation of programmed cell death (GO:0043067)	1030	167	107.85	+	1.55	1.45E-07	1.63E-05
regulation of apoptotic process (GO:0042981)	1018	165	106.60	+	1.55	1.68E-07	1.88E-05
homeostatic process (GO:0042592)	910	147	95.29	+	1.54	1.26E-06	1.14E-04
regulation of protein transport (GO:0051223)	533	86	55.81	+	1.54	2.45E-04	1.05E-02
positive regulation of protein modification process (GO:0031401)	769	124	80.52	+	1.54	1.07E-05	7.37E-04
cell communication (GO:0007154)	2463	396	257.91	+	1.54	4.34E-18	1.20E-14
signaling (GO:0023052)	2384	383	249.63	+	1.53	2.33E-17	4.61E-14
cellular response to organic substance (GO:0071310)	1109	178	116.13	+	1.53	9.26E-08	1.10E-05
small molecule metabolic process (GO:0044281)	1013	162	106.07	+	1.53	4.77E-07	4.78E-05
cellular homeostasis (GO:0019725)	482	77	50.47	+	1.53	8.44E-04	2.63E-02
positive regulation of developmental process (GO:0051094)	915	146	95.81	+	1.52	2.30E-06	1.94E-04
negative regulation of response to stimulus (GO:0048585)	985	157	103.14	+	1.52	1.00E-06	9.32E-05
positive regulation of cell differentiation (GO:0045597)	673	107	70.47	+	1.52	6.77E-05	3.74E-03
regulation of phosphorylation (GO:0042325)	978	154	102.41	+	1.50	2.11E-06	1.82E-04
regulation of hydrolase activity (GO:0051336)	604	95	63.25	+	1.50	3.17E-04	1.27E-02
regulation of establishment of protein localization (GO:0070201)	555	87	58.12	+	1.50	5.32E-04	1.86E-02
movement of cell or subcellular component (GO:0006928)	805	126	84.29	+	1.49	2.74E-05	1.67E-03
positive regulation of cell death (GO:0010942)	461	72	48.27	+	1.49	1.90E-03	4.91E-02
regulation of biological quality (GO:0065008)	2278	353	238.53	+	1.48	1.14E-13	6.56E-11
positive regulation of protein metabolic process (GO:0051247)	1052	163	110.16	+	1.48	2.60E-06	2.16E-04
positive regulation of cellular protein metabolic process (GO:0032270)	989	153	103.56	+	1.48	6.34E-06	4.63E-04
oxidation-reduction process (GO:0055114)	583	90	61.05	+	1.47	6.99E-04	2.29E-02
regulation of response to stimulus (GO:0048583)	2209	339	231.31	+	1.47	1.34E-12	6.60E-10
animal organ development (GO:0048513)	1715	262	179.58	+	1.46	2.14E-09	4.23E-07
cell death (GO:0008219)	622	95	65.13	+	1.46	7.84E-04	2.49E-02
regulation of signal transduction (GO:0009966)	1734	264	181.57	+	1.45	2.50E-09	4.86E-07
ion transport (GO:0006811)	677	103	70.89	+	1.45	4.99E-04	1.78E-02
programmed cell death (GO:0012501)	592	90	61.99	+	1.45	1.21E-03	3.47E-02
regulation of cell development (GO:0060284)	683	103	71.52	+	1.44	6.62E-04	2.20E-02
anatomical structure morphogenesis (GO:0009653)	1336	201	139.90	+	1.44	8.12E-07	7.80E-05
regulation of protein localization (GO:0032880)	745	112	78.01	+	1.44	3.58E-04	1.40E-02
regulation of transport (GO:0051049)	1246	187	130.47	+	1.43	2.58E-06	2.16E-04
regulation of phosphate metabolic process (GO:0019220)	1128	169	118.12	+	1.43	1.02E-05	7.14E-04
regulation of phosphorus metabolic process (GO:0051174)	1133	169	118.64	+	1.42	1.33E-05	8.84E-04
positive regulation of catalytic activity (GO:0043085)	725	108	75.92	+	1.42	6.04E-04	2.06E-02
response to stimulus (GO:0050896)	3977	592	416.44	+	1.42	1.08E-22	1.49E-18
response to stress (GO:0006950)	1768	262	185.13	+	1.42	3.61E-08	5.09E-06
negative regulation of signal transduction (GO:0009968)	778	115	81.47	+	1.41	5.72E-04	1.98E-02
regulation of cell communication (GO:0010646)	1966	289	205.86	+	1.40	8.63E-09	1.49E-06
regulation of signaling (GO:0023051)	1982	291	207.54	+	1.40	9.45E-09	1.61E-06
neurogenesis (GO:0022008)	1128	164	118.12	+	1.39	5.97E-05	3.37E-03
negative regulation of cell communication (GO:0010648)	853	124	89.32	+	1.39	6.31E-04	2.12E-02
regulation of catalytic activity (GO:0050790)	1191	173	124.71	+	1.39	3.85E-05	2.27E-03
negative regulation of signaling (GO:0023057)	854	124	89.42	+	1.39	6.36E-04	2.13E-02
cellular response to stimulus (GO:0051716)	3218	465	336.96	+	1.38	5.52E-14	3.63E-11
cell differentiation (GO:0030154)	2156	310	225.76	+	1.37	1.74E-08	2.73E-06
system development (GO:0048731)	2569	369	269.01	+	1.37	3.11E-10	7.68E-08
cellular developmental process (GO:0048869)	2211	317	231.52	+	1.37	1.52E-08	2.44E-06
regulation of protein modification process (GO:0031399)	1159	166	121.36	+	1.37	1.09E-04	5.53E-03
positive regulation of molecular function (GO:0044093)	961	136	100.63	+	1.35	8.21E-04	2.58E-02
regulation of protein metabolic process (GO:0051246)	1734	245	181.57	+	1.35	3.49E-06	2.79E-04
multicellular organismal process (GO:0032501)	3586	503	375.50	+	1.34	2.96E-13	1.57E-10
cell development (GO:0048468)	1001	140	104.82	+	1.34	1.21E-03	3.47E-02
anatomical structure development (GO:0048856)	3075	426	321.99	+	1.32	5.49E-10	1.18E-07
generation of neurons (GO:0048699)	1050	145	109.95	+	1.32	1.53E-03	4.19E-02
multicellular organism development (GO:0007275)	2905	401	304.19	+	1.32	3.61E-09	6.93E-07
negative regulation of cellular process (GO:0048523)	2923	402	306.07	+	1.31	5.77E-09	1.05E-06
developmental process (GO:0032502)	3302	453	345.76	+	1.31	3.55E-10	8.32E-08
regulation of molecular function (GO:0065009)	1611	219	168.69	+	1.30	1.46E-04	7.02E-03
nervous system development (GO:0007399)	1507	204	157.80	+	1.29	3.24E-04	1.30E-02
regulation of cellular protein metabolic process (GO:0032268)	1614	218	169.01	+	1.29	2.08E-04	9.23E-03
negative regulation of biological process (GO:0048519)	3191	431	334.14	+	1.29	9.78E-09	1.63E-06
positive regulation of biological process (GO:0048518)	3616	487	378.64	+	1.29	5.16E-10	1.15E-07
positive regulation of cellular metabolic process (GO:0031325)	2018	268	211.31	+	1.27	8.08E-05	4.36E-03
positive regulation of cellular process (GO:0048522)	3293	433	344.82	+	1.26	2.16E-07	2.35E-05
positive regulation of metabolic process (GO:0009893)	2146	280	224.71	+	1.25	1.61E-04	7.49E-03
positive regulation of nitrogen compound metabolic process (GO:0051173)	1924	251	201.47	+	1.25	4.69E-04	1.68E-02
biological regulation (GO:0065007)	6807	824	712.77	+	1.16	4.71E-10	1.08E-07
regulation of biological process (GO:0050789)	6485	773	679.06	+	1.14	2.40E-07	2.59E-05
regulation of cellular process (GO:0050794)	6155	725	644.50	+	1.12	1.05E-05	7.29E-04
cellular metabolic process (GO:0044237)	5164	483	540.73	-	.89	1.61E-03	4.33E-02
primary metabolic process (GO:0044238)	5097	475	533.72	-	.89	1.28E-03	3.63E-02
nitrogen compound metabolic process (GO:0006807)	4755	403	497.91	-	.81	1.05E-07	1.22E-05
cellular protein metabolic process (GO:0044267)	2125	173	222.51	-	.78	3.45E-04	1.36E-02
macromolecule metabolic process (GO:0043170)	4289	340	449.11	-	.76	3.30E-10	8.00E-08
cellular macromolecule metabolic process (GO:0044260)	3643	286	381.47	-	.75	8.42E-09	1.49E-06
macromolecule modification (GO:0043412)	1876	144	196.44	-	.73	5.86E-05	3.33E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1855	142	194.24	-	.73	5.45E-05	3.11E-03
organic cyclic compound biosynthetic process (GO:1901362)	1596	121	167.12	-	.72	1.64E-04	7.62E-03
heterocycle biosynthetic process (GO:0018130)	1541	116	161.36	-	.72	1.57E-04	7.40E-03
transcription, DNA-templated (GO:0006351)	1324	99	138.64	-	.71	4.49E-04	1.64E-02
nucleic acid-templated transcription (GO:0097659)	1324	99	138.64	-	.71	4.49E-04	1.64E-02
aromatic compound biosynthetic process (GO:0019438)	1538	115	161.05	-	.71	1.28E-04	6.23E-03
macromolecule biosynthetic process (GO:0009059)	1996	149	209.01	-	.71	7.09E-06	5.10E-04
RNA biosynthetic process (GO:0032774)	1327	99	138.95	-	.71	3.81E-04	1.45E-02
nucleobase-containing compound biosynthetic process (GO:0034654)	1497	110	156.75	-	.70	7.29E-05	3.97E-03
organelle organization (GO:0006996)	2155	158	225.65	-	.70	7.52E-07	7.27E-05
cellular macromolecule biosynthetic process (GO:0034645)	1974	143	206.70	-	.69	1.31E-06	1.17E-04
establishment of protein localization (GO:0045184)	967	70	101.26	-	.69	1.32E-03	3.70E-02
cellular nitrogen compound metabolic process (GO:0034641)	3024	213	316.65	-	.67	1.89E-11	7.27E-09
peptide transport (GO:0015833)	913	63	95.60	-	.66	5.15E-04	1.83E-02
protein transport (GO:0015031)	902	62	94.45	-	.66	5.83E-04	2.02E-02
organic cyclic compound metabolic process (GO:1901360)	2803	187	293.51	-	.64	1.09E-12	5.57E-10
gene expression (GO:0010467)	2194	144	229.74	-	.63	2.85E-10	7.16E-08
cellular macromolecule catabolic process (GO:0044265)	535	33	56.02	-	.59	1.57E-03	4.29E-02
cellular aromatic compound metabolic process (GO:0006725)	2708	167	283.56	-	.59	1.39E-15	1.37E-12
cell cycle process (GO:0022402)	540	33	56.54	-	.58	1.28E-03	3.62E-02
heterocycle metabolic process (GO:0046483)	2687	162	281.36	-	.58	2.39E-16	3.30E-13
RNA metabolic process (GO:0016070)	1943	117	203.46	-	.58	1.36E-11	5.53E-09
nucleobase-containing compound metabolic process (GO:0006139)	2612	153	273.51	-	.56	4.34E-17	7.50E-14
nucleic acid metabolic process (GO:0090304)	2266	122	237.28	-	.51	9.79E-18	2.25E-14
microtubule-based process (GO:0007017)	450	24	47.12	-	.51	4.14E-04	1.54E-02
protein localization to organelle (GO:0033365)	437	21	45.76	-	.46	1.20E-04	5.97E-03
cellular macromolecular complex assembly (GO:0034622)	526	25	55.08	-	.45	1.42E-05	9.40E-04
organelle localization (GO:0051640)	350	16	36.65	-	.44	2.75E-04	1.15E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	346	15	36.23	-	.41	1.67E-04	7.71E-03
ribonucleoprotein complex biogenesis (GO:0022613)	326	14	34.14	-	.41	2.30E-04	1.00E-02
modification-dependent protein catabolic process (GO:0019941)	352	15	36.86	-	.41	1.28E-04	6.25E-03
establishment of organelle localization (GO:0051656)	261	11	27.33	-	.40	1.07E-03	3.14E-02
modification-dependent macromolecule catabolic process (GO:0043632)	359	15	37.59	-	.40	7.19E-05	3.94E-03
mRNA metabolic process (GO:0016071)	410	17	42.93	-	.40	2.23E-05	1.38E-03
cellular response to DNA damage stimulus (GO:0006974)	489	19	51.20	-	.37	8.69E-07	8.28E-05
protein modification by small protein conjugation or removal (GO:0070647)	487	18	50.99	-	.35	3.54E-07	3.62E-05
protein ubiquitination (GO:0016567)	361	13	37.80	-	.34	9.37E-06	6.61E-04
protein modification by small protein conjugation (GO:0032446)	396	14	41.47	-	.34	2.86E-06	2.35E-04
RNA splicing (GO:0008380)	255	9	26.70	-	.34	2.59E-04	1.10E-02
histone modification (GO:0016570)	259	9	27.12	-	.33	1.89E-04	8.61E-03
organelle fission (GO:0048285)	208	7	21.78	-	.32	6.00E-04	2.05E-02
chromatin organization (GO:0006325)	461	15	48.27	-	.31	9.72E-08	1.14E-05
covalent chromatin modification (GO:0016569)	357	11	37.38	-	.29	1.31E-06	1.17E-04
chromosome organization (GO:0051276)	661	20	69.21	-	.29	1.46E-11	5.78E-09
RNA processing (GO:0006396)	600	18	62.83	-	.29	1.30E-10	3.82E-08
mRNA processing (GO:0006397)	318	9	33.30	-	.27	2.11E-06	1.81E-04
nuclear division (GO:0000280)	185	5	19.37	-	.26	3.90E-04	1.47E-02
ncRNA processing (GO:0034470)	262	7	27.43	-	.26	1.23E-05	8.35E-04
chromosome segregation (GO:0007059)	189	5	19.79	-	.25	2.77E-04	1.16E-02
regulation of chromosome organization (GO:0033044)	243	6	25.45	-	.24	1.51E-05	9.89E-04
ncRNA metabolic process (GO:0034660)	335	8	35.08	-	.23	1.74E-07	1.93E-05
DNA metabolic process (GO:0006259)	480	11	50.26	-	.22	9.97E-11	3.00E-08
peptidyl-lysine modification (GO:0018205)	193	4	20.21	-	.20	4.09E-05	2.40E-03
trans-synaptic signaling (GO:0099537)	255	5	26.70	-	.19	1.57E-06	1.37E-04
synaptic signaling (GO:0099536)	257	5	26.91	-	.19	1.05E-06	9.69E-05
methylation (GO:0032259)	178	3	18.64	-	.16	3.13E-05	1.89E-03
DNA conformation change (GO:0071103)	119	2	12.46	-	.16	8.92E-04	2.75E-02
chemical synaptic transmission (GO:0007268)	248	3	25.97	-	.12	8.26E-08	1.00E-05
anterograde trans-synaptic signaling (GO:0098916)	248	3	25.97	-	.12	8.26E-08	9.93E-06
RNA modification (GO:0009451)	97	1	10.16	-	.10	1.39E-03	3.83E-02
DNA repair (GO:0006281)	316	3	33.09	-	.09	1.76E-10	4.87E-08
double-strand break repair (GO:0006302)	113	1	11.83	-	.08	2.88E-04	1.20E-02
macromolecule methylation (GO:0043414)	142	1	14.87	-	.07	1.85E-05	1.19E-03
tRNA metabolic process (GO:0006399)	143	1	14.97	-	.07	1.91E-05	1.20E-03
meiotic cell cycle process (GO:1903046)	98	0	10.26	-	 < 0.01	8.87E-05	4.71E-03
DNA-dependent DNA replication (GO:0006261)	81	0	8.48	-	 < 0.01	4.63E-04	1.67E-02
DNA replication (GO:0006260)	136	0	14.24	-	 < 0.01	2.19E-06	1.86E-04
meiotic nuclear division (GO:0140013)	92	0	9.63	-	 < 0.01	2.12E-04	9.32E-03
synaptic vesicle transport (GO:0048489)	73	0	7.64	-	 < 0.01	1.06E-03	3.13E-02
nuclear export (GO:0051168)	84	0	8.80	-	 < 0.01	4.88E-04	1.74E-02
establishment of synaptic vesicle localization (GO:0097480)	73	0	7.64	-	 < 0.01	1.06E-03	3.13E-02
synaptic vesicle localization (GO:0097479)	76	0	7.96	-	 < 0.01	1.13E-03	3.28E-02
