




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	TraInc (Mus musculus )
Reference List:	pop (Mus musculus )
Test Type:	FISHER
GO biological process complete	pop - REFLIST (11651)	TraInc (520)	TraInc (expected)	TraInc (over/under)	TraInc (fold Enrichment)	TraInc (raw P-value)	TraInc (FDR)
microtubule-based process (GO:0007017)	450	61	20.08	+	3.04	1.94E-13	6.08E-11
regulation of cell cycle G1/S phase transition (GO:1902806)	91	12	4.06	+	2.95	1.44E-03	4.91E-02
regulation of symbiosis, encompassing mutualism through parasitism (GO:0043903)	130	17	5.80	+	2.93	1.77E-04	8.09E-03
positive regulation of defense response (GO:0031349)	154	20	6.87	+	2.91	5.31E-05	2.89E-03
immune effector process (GO:0002252)	239	31	10.67	+	2.91	5.06E-07	4.76E-05
regulation of multi-organism process (GO:0043900)	225	29	10.04	+	2.89	1.33E-06	1.10E-04
cellular process involved in reproduction in multicellular organism (GO:0022412)	189	24	8.44	+	2.85	1.36E-05	8.92E-04
regulation of chromatin organization (GO:1902275)	127	16	5.67	+	2.82	3.96E-04	1.61E-02
cellular response to stress (GO:0033554)	1002	124	44.72	+	2.77	4.45E-24	3.41E-21
chromatin organization (GO:0006325)	461	57	20.58	+	2.77	3.59E-11	7.40E-09
response to other organism (GO:0051707)	354	42	15.80	+	2.66	6.92E-08	7.91E-06
response to external biotic stimulus (GO:0043207)	355	42	15.84	+	2.65	7.17E-08	8.12E-06
response to light stimulus (GO:0009416)	196	23	8.75	+	2.63	6.27E-05	3.33E-03
response to biotic stimulus (GO:0009607)	377	44	16.83	+	2.61	4.11E-08	4.74E-06
positive regulation of immune response (GO:0050778)	240	26	10.71	+	2.43	8.01E-05	4.12E-03
gamete generation (GO:0007276)	333	36	14.86	+	2.42	4.57E-06	3.40E-04
reproduction (GO:0000003)	689	74	30.75	+	2.41	2.61E-11	5.82E-09
reproductive process (GO:0022414)	689	74	30.75	+	2.41	2.61E-11	5.73E-09
establishment of organelle localization (GO:0051656)	261	28	11.65	+	2.40	4.78E-05	2.64E-03
immune response (GO:0006955)	467	49	20.84	+	2.35	1.45E-07	1.52E-05
negative regulation of organelle organization (GO:0010639)	262	26	11.69	+	2.22	3.04E-04	1.26E-02
regulation of defense response (GO:0031347)	314	31	14.01	+	2.21	1.08E-04	5.20E-03
defense response (GO:0006952)	533	52	23.79	+	2.19	4.90E-07	4.64E-05
regulation of cellular response to stress (GO:0080135)	431	41	19.24	+	2.13	1.34E-05	8.82E-04
response to stress (GO:0006950)	1768	167	78.91	+	2.12	4.99E-21	3.14E-18
multi-organism process (GO:0051704)	936	88	41.77	+	2.11	1.37E-10	2.46E-08
sexual reproduction (GO:0019953)	400	37	17.85	+	2.07	8.58E-05	4.30E-03
multicellular organismal reproductive process (GO:0048609)	414	38	18.48	+	2.06	6.88E-05	3.61E-03
positive regulation of immune system process (GO:0002684)	426	39	19.01	+	2.05	5.38E-05	2.92E-03
multicellular organism reproduction (GO:0032504)	418	38	18.66	+	2.04	7.70E-05	3.97E-03
multi-organism reproductive process (GO:0044703)	453	41	20.22	+	2.03	5.24E-05	2.87E-03
cell proliferation (GO:0008283)	371	33	16.56	+	1.99	3.71E-04	1.52E-02
regulation of immune response (GO:0050776)	362	32	16.16	+	1.98	5.12E-04	2.01E-02
regulation of response to stress (GO:0080134)	763	66	34.05	+	1.94	7.19E-07	6.54E-05
organelle localization (GO:0051640)	350	30	15.62	+	1.92	1.12E-03	4.01E-02
apoptotic process (GO:0006915)	575	48	25.66	+	1.87	6.29E-05	3.33E-03
regulation of organelle organization (GO:0033043)	923	77	41.19	+	1.87	3.03E-07	2.97E-05
protein localization to organelle (GO:0033365)	437	36	19.50	+	1.85	7.00E-04	2.60E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	904	74	40.35	+	1.83	1.31E-06	1.10E-04
positive regulation of organelle organization (GO:0010638)	465	38	20.75	+	1.83	6.35E-04	2.38E-02
organelle organization (GO:0006996)	2155	176	96.18	+	1.83	5.64E-16	2.29E-13
cytoskeleton organization (GO:0007010)	687	56	30.66	+	1.83	3.11E-05	1.82E-03
programmed cell death (GO:0012501)	592	48	26.42	+	1.82	1.22E-04	5.81E-03
nucleic acid metabolic process (GO:0090304)	2266	182	101.13	+	1.80	5.30E-16	2.22E-13
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	889	71	39.68	+	1.79	3.97E-06	3.00E-04
immune system process (GO:0002376)	973	77	43.43	+	1.77	2.02E-06	1.61E-04
cell death (GO:0008219)	622	49	27.76	+	1.77	2.42E-04	1.06E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	916	71	40.88	+	1.74	1.14E-05	7.67E-04
response to abiotic stimulus (GO:0009628)	602	46	26.87	+	1.71	6.35E-04	2.38E-02
regulation of immune system process (GO:0002682)	684	52	30.53	+	1.70	3.18E-04	1.31E-02
regulation of cell proliferation (GO:0042127)	988	75	44.10	+	1.70	1.13E-05	7.62E-04
negative regulation of cellular biosynthetic process (GO:0031327)	951	71	42.44	+	1.67	3.43E-05	1.99E-03
nucleobase-containing compound metabolic process (GO:0006139)	2612	192	116.58	+	1.65	3.79E-13	1.09E-10
negative regulation of biosynthetic process (GO:0009890)	978	71	43.65	+	1.63	8.36E-05	4.20E-03
heterocycle metabolic process (GO:0046483)	2687	194	119.92	+	1.62	1.02E-12	2.78E-10
cellular aromatic compound metabolic process (GO:0006725)	2708	194	120.86	+	1.61	2.41E-12	6.17E-10
negative regulation of macromolecule metabolic process (GO:0010605)	1566	111	69.89	+	1.59	1.31E-06	1.09E-04
negative regulation of gene expression (GO:0010629)	1032	73	46.06	+	1.58	1.64E-04	7.62E-03
negative regulation of nitrogen compound metabolic process (GO:0051172)	1467	103	65.47	+	1.57	6.50E-06	4.68E-04
organic cyclic compound metabolic process (GO:1901360)	2803	195	125.10	+	1.56	2.76E-11	5.87E-09
negative regulation of cellular metabolic process (GO:0031324)	1588	107	70.87	+	1.51	2.33E-05	1.42E-03
negative regulation of metabolic process (GO:0009892)	1732	115	77.30	+	1.49	1.96E-05	1.22E-03
cellular nitrogen compound metabolic process (GO:0034641)	3024	199	134.97	+	1.47	2.21E-09	3.11E-07
regulation of nucleobase-containing compound metabolic process (GO:0019219)	2514	162	112.20	+	1.44	7.48E-07	6.67E-05
macromolecule biosynthetic process (GO:0009059)	1996	126	89.08	+	1.41	5.66E-05	3.06E-03
cellular macromolecule biosynthetic process (GO:0034645)	1974	124	88.10	+	1.41	8.59E-05	4.28E-03
cellular macromolecule metabolic process (GO:0044260)	3643	227	162.59	+	1.40	8.50E-09	1.07E-06
cellular component assembly (GO:0022607)	1499	93	66.90	+	1.39	1.38E-03	4.73E-02
cellular component organization (GO:0016043)	3367	208	150.27	+	1.38	1.24E-07	1.35E-05
cellular component organization or biogenesis (GO:0071840)	3519	214	157.06	+	1.36	2.33E-07	2.35E-05
cellular response to stimulus (GO:0051716)	3218	194	143.62	+	1.35	3.19E-06	2.48E-04
regulation of cellular macromolecule biosynthetic process (GO:2000112)	2441	146	108.95	+	1.34	1.87E-04	8.41E-03
positive regulation of nitrogen compound metabolic process (GO:0051173)	1924	115	85.87	+	1.34	1.17E-03	4.15E-02
regulation of macromolecule biosynthetic process (GO:0010556)	2496	148	111.40	+	1.33	2.13E-04	9.41E-03
negative regulation of biological process (GO:0048519)	3191	189	142.42	+	1.33	1.58E-05	1.01E-03
negative regulation of cellular process (GO:0048523)	2923	172	130.46	+	1.32	7.08E-05	3.66E-03
regulation of nitrogen compound metabolic process (GO:0051171)	3559	209	158.84	+	1.32	6.09E-06	4.43E-04
regulation of macromolecule metabolic process (GO:0060255)	3668	214	163.71	+	1.31	5.82E-06	4.28E-04
macromolecule metabolic process (GO:0043170)	4289	249	191.42	+	1.30	5.09E-07	4.75E-05
regulation of cellular biosynthetic process (GO:0031326)	2591	150	115.64	+	1.30	5.83E-04	2.21E-02
regulation of primary metabolic process (GO:0080090)	3646	211	162.73	+	1.30	1.38E-05	8.97E-04
regulation of cellular metabolic process (GO:0031323)	3756	216	167.64	+	1.29	1.60E-05	1.02E-03
regulation of biosynthetic process (GO:0009889)	2634	150	117.56	+	1.28	1.34E-03	4.58E-02
regulation of metabolic process (GO:0019222)	3964	225	176.92	+	1.27	2.08E-05	1.27E-03
response to stimulus (GO:0050896)	3977	223	177.50	+	1.26	5.90E-05	3.16E-03
nitrogen compound metabolic process (GO:0006807)	4755	260	212.22	+	1.23	4.00E-05	2.25E-03
regulation of cellular process (GO:0050794)	6155	319	274.71	+	1.16	1.33E-04	6.28E-03
regulation of biological process (GO:0050789)	6485	335	289.43	+	1.16	8.27E-05	4.19E-03
cellular process (GO:0009987)	8558	436	381.96	+	1.14	4.06E-08	4.71E-06
biological regulation (GO:0065007)	6807	343	303.81	+	1.13	6.29E-04	2.37E-02
establishment of localization (GO:0051234)	2358	74	105.24	-	.70	6.12E-04	2.32E-02
nervous system development (GO:0007399)	1507	41	67.26	-	.61	4.49E-04	1.77E-02
neurogenesis (GO:0022008)	1128	27	50.34	-	.54	3.08E-04	1.28E-02
generation of neurons (GO:0048699)	1050	25	46.86	-	.53	4.86E-04	1.91E-02
small molecule metabolic process (GO:0044281)	1013	23	45.21	-	.51	2.85E-04	1.21E-02
transport (GO:0006810)	2256	51	100.69	-	.51	6.18E-09	8.14E-07
organonitrogen compound biosynthetic process (GO:1901566)	817	16	36.46	-	.44	1.78E-04	8.10E-03
system process (GO:0003008)	765	14	34.14	-	.41	1.52E-04	7.07E-03
cellular lipid metabolic process (GO:0044255)	523	9	23.34	-	.39	1.33E-03	4.59E-02
cell projection organization (GO:0030030)	742	12	33.12	-	.36	3.67E-05	2.12E-03
regulation of neuron differentiation (GO:0045664)	496	8	22.14	-	.36	1.00E-03	3.60E-02
plasma membrane bounded cell projection organization (GO:0120036)	713	11	31.82	-	.35	3.77E-05	2.16E-03
lipid metabolic process (GO:0006629)	651	10	29.06	-	.34	6.71E-05	3.54E-03
transmembrane transport (GO:0055085)	535	8	23.88	-	.34	3.00E-04	1.26E-02
regulation of plasma membrane bounded cell projection organization (GO:0120035)	503	7	22.45	-	.31	2.93E-04	1.24E-02
regulation of cell projection organization (GO:0031344)	507	7	22.63	-	.31	3.02E-04	1.26E-02
regulation of neuron projection development (GO:0010975)	382	5	17.05	-	.29	1.26E-03	4.36E-02
behavior (GO:0007610)	441	5	19.68	-	.25	1.79E-04	8.16E-03
peptide metabolic process (GO:0006518)	353	4	15.75	-	.25	1.20E-03	4.25E-02
ion transport (GO:0006811)	677	7	30.22	-	.23	7.64E-07	6.77E-05
cell-cell signaling (GO:0007267)	509	5	22.72	-	.22	1.69E-05	1.08E-03
positive regulation of cell projection organization (GO:0031346)	307	3	13.70	-	.22	1.45E-03	4.92E-02
metal ion transport (GO:0030001)	337	3	15.04	-	.20	5.30E-04	2.06E-02
inorganic ion transmembrane transport (GO:0098660)	270	2	12.05	-	.17	1.17E-03	4.16E-02
peptide biosynthetic process (GO:0043043)	273	2	12.18	-	.16	7.96E-04	2.93E-02
cation transport (GO:0006812)	443	3	19.77	-	.15	7.04E-06	4.96E-04
vesicle-mediated transport (GO:0016192)	749	5	33.43	-	.15	2.06E-09	2.97E-07
secretion (GO:0046903)	306	2	13.66	-	.15	2.75E-04	1.17E-02
regulation of cell morphogenesis involved in differentiation (GO:0010769)	248	1	11.07	-	.09	3.77E-04	1.54E-02
anion transport (GO:0006820)	253	1	11.29	-	.09	3.98E-04	1.61E-02
plasma membrane bounded cell projection assembly (GO:0120031)	255	1	11.38	-	.09	2.57E-04	1.12E-02
cell projection assembly (GO:0030031)	258	1	11.51	-	.09	2.60E-04	1.13E-02
endocytosis (GO:0006897)	279	1	12.45	-	.08	1.25E-04	5.94E-03
import into cell (GO:0098657)	316	1	14.10	-	.07	2.73E-05	1.62E-03
chemical synaptic transmission (GO:0007268)	248	0	11.07	-	 < 0.01	3.95E-05	2.25E-03
trans-synaptic signaling (GO:0099537)	255	0	11.38	-	 < 0.01	2.56E-05	1.54E-03
synaptic signaling (GO:0099536)	257	0	11.47	-	 < 0.01	2.64E-05	1.58E-03
anterograde trans-synaptic signaling (GO:0098916)	248	0	11.07	-	 < 0.01	3.95E-05	2.24E-03
Golgi vesicle transport (GO:0048193)	180	0	8.03	-	 < 0.01	6.15E-04	2.32E-02
organic anion transport (GO:0015711)	191	0	8.52	-	 < 0.01	4.17E-04	1.65E-02
locomotory behavior (GO:0007626)	168	0	7.50	-	 < 0.01	1.47E-03	4.95E-02
